group,title,link,salary_raw,salary_normalized,currency_unit,location,experience,description,requirements,benefits,work_location_detail,working_time,deadline,skills
Git,"Full Stack Developer (Java, Springboot, React/Vue)",https://www.topcv.vn/viec-lam/full-stack-developer-java-springboot-react-vue/1624119.html?ta_source=ITJobs_LinkDetail,Thoả thuận,,,Hà Nội,3 năm,"About LG CNS Vietnam Build Center LG CNS is a global IT solutions company specializing in digital transformation, cloud, AI, and smart solutions. As part of our expansion, LG CNS Vietnam Build Center is looking for skilled Fullstack Developers to join our growing team in Hanoi. This is a great opportunity to work on cutting-edge projects with global teams and contribute to innovative solutions in various industries. Responsibilities Develop and maintain both frontend and backend components of web applications. Collaborate with UX/UI designers, product managers, and other developers to create seamless user experiences. Design and implement RESTful APIs and integrate with third-party services. Optimize applications for speed, scalability, and performance. Write clean, maintainable, and efficient code following best practices. Perform unit and integration testing to ensure application reliability. Troubleshoot, debug, and resolve software defects. Participate in Agile/Scrum development processes.","Bachelor's degree of Information Technology or higher Have working experience and excellent knowledge at software developing using Java, Spring boot Have working experience and excellent knowledge at software developing using React, HTML, JavaScript Good knowledge about AI (Azure OpenAI and GenAI) Good knowledge about public cloud (Azure, AWS,) Database: MariaDB (or MySQL). Having experience with Python and Google cloud","Attractive salary and bonus will be discussed after going through CV & Interview Review capacity annually and adjust salary increases according to work performance. Health care: Premium health insurance, Annual health check-up Young working environment Good career development opportunities with interesting and challenging projects. English, Korean, technical, soft skills training courses. Opportunity to learn special courses from LG CNS, new technology and security. Gifts on holidays (April 30th - May 1st, September 2nd, Tet, etc.) Outdoor activities with company support: sports clubs, team building, happy hour parties, birthdays, travel, employee and family events, etc. Working hours: 8 hours from Monday - Friday (8 hours/day)","- Hà Nội: Toà Keangnam Landmark 72, Phạm Hùng, Nam Từ Liêm",Thứ 2 - Thứ 6 (từ 08:00 đến 17:00),2025-06-30,"Java, Spring boot, React, HTML, JavaScript, AI, Azure, OpenAI, GenAI, Azure, AWS, MariaDB, MySQL, Python, Google cloud"
Git,Mobile App Developer (React Native),https://www.topcv.vn/viec-lam/mobile-app-developer-react-native/1692702.html?ta_source=ITJobs_LinkDetail,15 - 25 triệu,20000000,VND,Hà Nội,2 năm,"Phát triển ứng dụng mobile app cho người dùng app . Tư vấn, phân tích, thiết kế. Phát triển, kiểm thử, sửa lỗi. Vận hành và bảo trì hệ thống. Thực hiện đúng quy trình phát triển phần mềm. Các công việc khác theo phân công của quản lý.","Tốt nghiệp Đại học chuyên ngành Công nghệ thông tin các trường HUST, UET, PTIT. Có từ 2 năm kinh nghiệm ở vị trí tương đương. Có kinh nghiệm phát triển ứng dụng mobile app sử dụng lập trình React Native. Có kinh nghiệm thiết kế UI/UX. Có hiểu biết về kiến trúc ứng dụng IoT trong smart home, smart building phục vụ phát triển app cho hệ thống. Sáng tạo, nhanh nhẹn, trung thực. Sử dụng tiếng Anh tốt là một lợi thế.","Lương/thưởng theo chế độ của công ty. Thưởng upto 3 tháng lương/năm. Môi trường chuyên nghiệp, năng động, thân thiện, cơ hội thăng tiến. Chế độ BHYT, BHXH theo Luật Lao động. Khám sức khỏe định kỳ hàng năm. Tham gia các hoạt động, sự kiện của công ty. Tham gia các khóa đào tạo trong và ngoài nước. Thời gian làm việc: Thứ 2 đến hết sáng thứ 7 (8h30-12h00; 13h00-17h30).","- Hà Nội: Tầng 2, Tòa N09B2 Thành Thái, Cầu Giấy",Không rõ,2025-05-23,IoT
Git,Lập Trình Viên Back-End,https://www.topcv.vn/viec-lam/lap-trinh-vien-back-end/536244.html?ta_source=ITJobs_LinkDetail,8 - 18 triệu,13000000,VND,Hồ Chí Minh,1 năm,"- Tham gia vào toàn bộ vòng đời của ứng dụng / hệ thống; - Thực hiện các sản phẩm web trên nhiều nền tảng khác nhau, từ client đến server, cho cả hệ thống; - Bảo trì, mở rộng website / hệ thống hiện có của công ty và phát triển các ứng dụng chức năng mới; - Phân tích tính năng, thiết kế cấu trúc data, làm report data theo yêu cầu; - Phối hợp với Front-end để tích hợp các yếu tố người dùng tương thích với phía server; - Các công việc khác theo sự phân công của cấp trên khi có yêu cầu.","- Có kinh nghiệm làm việc với C#, .NET Core Framework, Entity Framework; (biết abp.io là một lợi thế) - Có kinh nghiệm về phân tích thiết kế database SQL và NoSQL (ưu tiên PostgreSQL và MongoDB); - Có kinh nghiệm làm việc với MicroService (biết Docker và AWS EC2 là một lợi thế) - Có kiến thức cơ bản về ELK Stack; - Biết sử dụng Git, GitFlow, phương pháp làm việc Agile/Scrum; - Có khả năng tự phân tích và giải quyết vấn đề; - Đọc hiểu và nghiên cứu tài liệu tiếng Anh; - Chủ động và trách nhiệm trong công việc.","- Lương thỏa thuận theo năng lực 8.000.000đ-18.000.000đ; - Chính sách thưởng KPI, Lễ/Tết, thưởng lương tháng 13; - Bảo hiểm và các chế độ đãi ngộ khác theo quy định khi ký Hợp đồng lao động chính thức; - Được trang bị thiết bị làm việc; - Sinh nhật, hiếu, hỉ, nghỉ mát định kỳ theo chế độ Công ty; - Thể dục thể thao nâng cao sức khỏe; - Được tạo điều kiện và hỗ trợ chi phí tham gia các khóa học nâng cao kiến thức, kỹ năng chuyên môn theo chính sách Đào tạo của Công ty; - Làm việc trong môi trường trẻ trung, năng động theo kiểu team work,… tạo điều kiện cho nhân viên phát huy tốt nhất năng lực cá nhân.","- Hồ Chí Minh: Win Tower, Số 37/4 Đường C1, Phường 13, Tân Bình",Không rõ,2025-06-05,"PostgreSQL, MongoDB, MicroService, Docker, AWS, ELK Stack, Git, GitFlow, Agile"
Git,Lập Trình Viên Fullstack,https://www.topcv.vn/viec-lam/lap-trinh-vien-fullstack/1687805.html?ta_source=ITJobs_LinkDetail,Thoả thuận,,,Hà Nội,1 năm,"Phát triển sản phẩm AI như AI Chatbot, AI Agent, hệ thống phân tích dữ liệu và tự động hóa nghiệp vụ. Lập trình frontend/backend với ReactJS, VueJS, Next.js, Node.js, FastAPI, Frappe Framework. Tối ưu hóa hiệu suất, đảm bảo hệ thống hoạt động mượt mà, bảo mật. Làm việc với team AI để triển khai các tích hợp các tính năng AI. Nghiên cứu và ứng dụng công nghệ mới vào sản phẩm.","Kỹ năng & Kinh nghiệm: Có kinh nghiệm với Python, JavaScript, TypeScript Thành thạo framework ReactJS, VueJS, Next.js, Node.js, FastAPI Hiểu biết về Genetive AI và các mô hình ngôn ngữ lớn (LLM) là lợi thế Đọc hiểu tài liệu tiếng Anh, có thể giao tiếp cơ bản Tính cách & Tư duy: Chủ động trong công việc Tư duy logic, khả năng làm việc độc lập và teamwork tốt","Mức lương: Thỏa thuận khi phỏng vấn Công ty đóng 100% BHYT, BHXH, BHTN Công ty cung cấp thiết bị làm việc Review lương 1-2 lần/năm theo năng lực Thưởng ngày lễ 2/9, 30/04, 1/5, ... thưởng lương tháng 13 Thưởng kết quả kinh doanh toàn công ty cuối năm Du lịch, nghỉ mát 2 lần/năm Môi trường làm việc năng động, sáng tạo, chuyên nghiệp","- Hà Nội: Khu văn phòng tầng 3, toà CT1 - Thái Hà, Khu nhà ở Bộ Công An, Phạm Văn Đồng, Cổ Nhuế 2, Bắc Từ Liêm",Thứ 2 - Thứ 6 (từ 08:00 đến 17:00) Thứ 7 (từ 08:00 đến 12:00),2025-05-20,"Python, JavaScript, TypeScript, Next.js, Node.js, FastAPI, AI"
Git,Nhân Viên Vận Hành Ứng Dụng (DevOps),https://www.topcv.vn/viec-lam/nhan-vien-van-hanh-ung-dung-devops/1696859.html?ta_source=ITJobs_LinkDetail,Thoả thuận,,,Hà Nội,2 năm,"- Được cung cấp tài liệu mô tả, tài liệu triển khai, tài liệu vận hành hệ thống ứng dụng, đào tạo chuyển giao vận hành - Quản trị và vận hành các hệ thống ứng dụng - Nắm bắt các quy trình nghiệp vụ và các chức năng của ứng dụng - Kiểm tra và đảm bảo chất lượng, hiệu quả và an toàn của các ứng dụng - Theo dõi và báo cáo về tình hình hoạt động, hiệu suất và lưu lượng truy cập của các ứng dụng - Phối hợp với đối phát triển ứng dụng/đội triển khai giám sát ứng dụng để xây dựng các dashboard/cảnh báo về ứng dụng - Tiếp nhận các thông báo cảnh báo 24/7 từ nhóm giám sát ứng dụng, sau đó xác minh xử lý - Hỗ trợ thực hiện phân tích và gửi lỗi cho đội phát triển/nhà cung cấp, phối hợp với đội phát triển/nhà cung cấp kiểm tra xử lý sự cố theo phân công. - Phối hợp với các bộ phận liên quan Quản trị hệ thống/DBA/ANTT/Bên thứ 3 kiểm tra xử lý sự cố theo phân công - Thực hiện cài đặt triển khai, cập nhật ứng dụng theo tài liệu của đội phát triển/nhà cung cấp - Thực hiện các cấu hình hệ thống theo yêu cầu được phê duyệt từ quản lý","- Tốt nghiệp Đại học trở lên ngành Công nghệ thông tin, Phần mềm, Kỹ thuật máy tính, Điện tử viễn thông - Có từ 2 năm kinh nghiệm trở lên tại vị trí tương đương - Đọc hiểu tiếng Anh cơ bản, có thể nghiên cứu tài liệu bằng ngoại ngữ là một lợi thế - Hiểu biết tốt về các quy trình phát triển phần mềm. - Hiểu biết tốt về mô hình ứng dụng Microservices và Monolithic Services - Hiểu biết và có kinh nghiệm quản trị hệ điều hành Linux - Có kinh nghiệm lập trình ứng dụng các ngôn ngữ Java, .NET, C#, Golang, JS - Có kinh nghiệm quản trị ứng dụng trên nền tảng Docker, Container là một lợi thế - Có kinh nghiệm làm phân tích nghiệp vụ là một lợi thế - Có kinh nghiệm trong triển khai và quản lý hệ thống CI/CD (Continuous Integration/Continuous Deployment), bao gồm việc sử dụng các công cụ như Jenkins, GitLab CI/CD, hoặc các công cụ tương tự khác. - Sử dụng thành thạo Git, nắm bắt tốt Git Flow - Sử dụng thành thạo các phần mềm như Ansible, Terraform, Jenkins, ArgoCD ... - Kỹ năng về viết script và automation để tạo ra các quy trình tự động cho việc triển khai, cấu hình và quản lý hệ thống. - Có kỹ năng về quản lý và áp dụng các phương pháp và công cụ giám sát hệ thống để đảm bảo hiệu suất và sẵn sàng của ứng dụng. - Có khả năng làm việc cộng tác và giao tiếp tốt với các thành viên khác trong nhóm phát triển, quản lý dự án và quản lý hệ thống. - Có kỹ năng tư duy phân tích, giải quyết, khoanh vùng sư cố cố để giải quyết vấn đề trong thời gian ngắn. - Có khả năng ứng dụng AI và công nghệ mới vào công việc","1. Chế độ lương & thưởng hấp dẫn: - Mức lương thỏa thuận theo năng lực, đánh giá năng lực hàng năm - Chế độ thưởng phong phú và hấp dẫn (Theo quy định và chính sách công ty) - Hỗ trợ ăn sáng miễn phí - Hỗ trợ ăn trưa: 50.000đ/ngày - Hỗ trợ gửi xe, xăng xe, điện thoại (tùy vị trí) - Hỗ trợ trang điểm cho CBNV nữ - Quà tặng các ngày lễ trong năm 2. Bảo hiểm & chăm sóc sức khỏe toàn diện: - BHXH, BHYT, BHTN theo pháp luật hiện hành - Gói bảo hiểm sức khỏe cao cấp 24/7 mua cho nhân viên & người thân nhân viên - Khám sức khỏe định kỳ hàng năm 3. Môi trường làm việc hiện đại: - Cung cấp máy tính & trang thiết bị làm việc hiện đại - Văn phòng làm việc hiện đại, trang thiết bị làm việc Hi- tech - Không gian ăn nhẹ miễn phí (nước uống, trà cafe, hoa quả, sữa chua) 4. Phát triển nghề nghiệp: - Cơ hội tiếp cận với những công nghệ mới, những dự án quy mô lớn - Làm việc cùng đội ngũ hơn 1000 nhân sự tài năng, có chuyên môn giỏi, dày dặn kinh nghiệm, tư duy chia sẻ - Được tài trợ kinh phí tham gia các chương trình đào tạo nâng cao năng lực - Công ty thành lập hơn 16 năm với các sản phẩm & dịch vụ đã được khẳng định vị thế trên thị trường 5. Hoạt động ngoại khóa phong phú: - Văn hóa công ty đặc sắc với nhiều hoạt động đoàn thể được quan tâm đầu tư: Team building, Nghỉ mát (trong nước và nước ngoài), 20/10, Year End Party, hoạt động thiện nguyện,... - Các câu lạc bộ: CLB Cầu lông CLB Bóng đá CLB Yoga CLB Điền kinh CLB Bơi Chúng tôi sẽ liên hệ với những CV phù hợp trong vòng 7 ngày làm việc kể từ ngày ứng tuyển.","- Hà Nội: 4A Huỳnh Thúc Kháng, Đống Đa",Thứ 2 - Thứ 6 (từ 08:00 đến 17:30) Nghỉ trưa từ 12h đến 13h30,2025-05-17,"Linux, Java, Golang, Docker, CI/CD, Jenkins, CI/CD, Git, Ansible, Terraform, Jenkins, ArgoCD, AI"
Git,Thực Tập Sinh Devops Linux,https://www.topcv.vn/viec-lam/thuc-tap-sinh-devops-linux/1684815.html?ta_source=ITJobs_LinkDetail,Thoả thuận,,,Hà Nội,Dưới 1 năm,"Viết, kiểm tra và tối ưu hoá các script CI/CD (GitLab CI…), gitops với ArgoCD Tìm hiểu và thực hành với các công cụ như Docker, Kubernetes, Prometheus, Grafana Tham gia vào quy trình quản lý hạ tầng Hỗ trợ vận hành hệ thống, giám sát logs/metrics, xử lý sự cố. Tự động hoá các quy trình triển khai/monitoring nội bộ bằng shell/Python/Go.","Là sinh viên năm 3 hoặc năm cuối ngành CNTT, Kỹ thuật phần mềm, An toàn thông tin, hoặc các ngành liên quan. Có tư duy logic tốt, chủ động học hỏi và có định hướng làm việc với hệ thống. Có kiến thức cơ bản về Linux và networking (cấu trúc OS, TCP/IP, DNS, SSH...). Biết sử dụng Docker và có khái niệm về Kubernetes. Có hiểu biết về Git, CI/CD là lợi thế. Có hiểu biết về triển khai Ansbile là lợi thế Biết một trong các ngôn ngữ: Python, Go, hoặc Shell script là lợi thế. Biết về database (MySQL/PostgreSQL/Redis...) là điểm cộng.","Lộ trình thăng tiến rõ ràng, có cơ hội tiếp cận các công nghệ, kiến thức mới và làm việc cùng các chuyên gia nhiều kinh nghiệm trong mảng AI Được Mentor đào tạo bài bản, chuyên nghiệp về chuyên môn, nghiệp vụ, các kỹ năng mềm trước khi vào công việc cụ thể Môi trường trẻ trung năng động, đồng nghiệp thân thiện; Du lịch và teambuilding hàng năm Có chỗ gửi xe miễn phí, có pantry tủ lạnh, lò vi sóng, máy pha cafe, cafe miễn phí,.... Thời gian làm việc từ 8h30 – 17h30 (nghỉ trưa 1 tiếng) từ T2 đến T6, nghỉ thứ 7, chủ nhật","- Hà Nội: Số 21 Ngõ Giếng, Phố Đông Các, Phường Ô Chợ Dừa, Đống Đa",Thứ 2 - Thứ 6 (từ 08:30 đến 17:30) Thực tập tối thiểu 5 buổi sáng/ chiều/ tuần,2025-06-08,"Linux, Docker, Kubernetes, Git, CI/CD, Python, Go, Shell, MySQL, PostgreSQL, Redis"
Git,Reactnative Lead,https://www.topcv.vn/viec-lam/reactnative-lead/1722473.html?ta_source=ITJobs_LinkDetail,Tới 50 triệu,50000000,VND,Hồ Chí Minh,Trên 5 năm,"Dẫn dắt và quản lý nhóm phát triển React Native để xây dựng các ứng dụng di động phục vụ khách hàng của HD Bank. Thiết kế và phát triển kiến trúc ứng dụng React Native, đảm bảo hiệu suất, bảo mật và khả năng mở rộng. Xây dựng và triển khai API, tích hợp với hệ thống ngân hàng và các đối tác bên ngoài. Định hướng và tối ưu codebase, áp dụng Clean Architecture và các phương pháp phát triển hiện đại. Đảm bảo chất lượng mã nguồn thông qua code review, unit test và CI/CD. Phối hợp với các phòng ban liên quan như BA, PO, UI/UX để hiểu yêu cầu và đưa ra giải pháp phù hợp. Hướng dẫn và đào tạo các thành viên trong nhóm, đảm bảo đội ngũ phát triển vững mạnh. Báo cáo tiến độ công việc và đề xuất giải pháp kỹ thuật với quản lý dự án","Tốt nghiệp Đại học chuyên ngành Công nghệ thông tin hoặc các ngành liên quan. Có 7 năm kinh nghiệm phát triển phần mềm, trong đó có ít nhất 2 năm kinh nghiệm với React Native tại các ngân hàng, tài chính . Có kinh nghiệm Lead team ít nhất 2 năm, hiểu biết về quản lý dự án Agile/Scrum. Thành thạo JavaScript, TypeScript, React Native, Redux, Redux-Saga, React-Query. Hiểu biết về Clean Architecture, Microservices, API Gateway, GraphQL, gRPC là một lợi thế. Có kinh nghiệm làm việc với các công cụ CI/CD, Docker, Kubernetes. Hiểu biết về bảo mật trong ứng dụng tài chính, ngân hàng. Kỹ năng giải quyết vấn đề, tư duy logic tốt, có khả năng làm việc độc lập và theo nhóm. Ưu tiên ứng viên có kinh nghiệm làm việc trong lĩnh vực ngân hàng hoặc fintech.","Mức lương up to 50M + KHÔNG THỬ VIỆC Môi trường làm việc chuyên nghiệp Cơ hội làm việc với các công nghệ mới, nâng cao chuyên môn. Đầy đủ chế độ BHXH, BHYT Có gói BH sức khỏe BSH Thưởng 4 dịp lễ trong năm (30/4, 2/9, Tết âm, tết dương) Chế độ công đoàn Địa điểm làm việc - Hồ Chí Minh: PVGas Tower, 673 Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè, Nhà Bè Thời gian làm việc Thứ 2 - Thứ 6 (từ 08:00 đến 17:30)",- Hồ Chí Minh,Thứ 2 - Thứ 6 (từ 08:00 đến 17:00),2025-06-07,"Agile, JavaScript, TypeScript, React, GraphQL, gRPC, CI/CD, Docker, Kubernetes"
Git,IOS Developer,https://www.topcv.vn/viec-lam/ios-developer/1547925.html?ta_source=ITJobs_LinkDetail,Từ 0.0 triệu,,,Hồ Chí Minh,4 năm,"Collaborate with Teams: Work closely with product managers and designers to prototype and deliver innovative user experiences. Enhance Engineering Culture: Strengthen our engineering culture by setting and maintaining high engineering standards. Participate in code reviews, team discussions, and lead by example with solid coding practices. Ensure Smooth User Experience: Write well-tested and highly performant code to guarantee a smooth and seamless user experience. Explore New Technologies: Continuously explore and evaluate new stack components and architecture ideas as necessary. Code Review: Regularly review code to ensure high quality and adherence to best practices. Native Experience: Utilize native iOS to enhance application functionality (preferred but not required).","Experience: At least 4 years of experience in mobile development. Proficient in IOS native. Scalable Mobile Applications: Significant experience in scaling mobile applications across a diverse range of devices. End-to-End Testing: Proficiency in mobile end-to-end testing. Data-Driven Products: Experience in making complex, data-driven products accessible to consumers. Multi-Product Development: Ability to develop multiple products and concepts simultaneously. UX Trends: Familiarity with current UX trends and a curiosity for new UX concepts, such as conversational UI. Team Collaboration: Demonstrable ability to work effectively in small teams and take ownership of product features. Detail-Oriented: Highly detail-oriented with the ability to focus deeply on coding tasks and emerge with innovative solutions. Passion for Innovation: A strong passion for technological innovation and staying ahead of industry trends.","A competitive salary package that fits your skills, experiences, and contributions. Holiday and New Year bonus. Provision of necessary working equipment. A professional, dynamic, and inclusive working environment.","- Hồ Chí Minh: 292 Ung Văn Khiêm, Bình Thạnh",Thứ 2 - Thứ 6 (từ 08:00 đến 17:00),2025-07-31,
Git,Senior Team Lead Nodejs Engineer,https://www.topcv.vn/viec-lam/senior-team-lead-nodejs-engineer/1710598.html?ta_source=ITJobs_LinkDetail,Thoả thuận,,,"Hồ Chí Minh, Hà Nội",Trên 5 năm,"Design, develop, and maintain robust and scalable back-end applications and APIs primarily using Node.js and related frameworks (e.g., Express.js, NestJS). Collaborate with front-end developers to integrate APIs and ensure seamless data flow. Design and implement database schemas and manage data using various database technologies (e.g., PostgreSQL, MySQL, MongoDB). Write clean, well-documented, and testable code. Participate in code reviews and contribute to improving code quality and best practices. Troubleshoot and debug issues across the backend system. Optimize applications for performance, scalability, and security. Demonstrate a strong willingness and aptitude to learn and work with C# and the .NET ecosystem as projects evolve or new needs arise. This may involve training, self-study, and active participation in C# based tasks under guidance. Collaborate with teams utilizing C# and .NET technologies, contributing to shared projects as needed. Communicate effectively in English (both written and verbal) with local and international team members. Participate in agile development processes, including sprint planning, daily stand-ups, and retrospectives. Contribute to the development and maintenance of technical documentation","Required Skills and Qualifications: Bachelor's degree in Computer Science or a related field (or equivalent practical experience). >7 years of proven experience as a Back-End Engineer with a strong focus on Node.js development. Solid understanding of JavaScript, including ES6+ features and asynchronous programming. Experience with Node.js frameworks such as Express.js or NestJS. Proficiency in building RESTful APIs. Experience with at least one relational or NoSQL database (e.g., PostgreSQL, MySQL, MongoDB). Familiarity with version control systems (e.g., Git). Experience with testing frameworks (e.g., Jest, Mocha). Excellent English communication skills (both written and verbal). Strong problem-solving and analytical skills. Ability to work independently and as part of a team. A proactive attitude and a strong desire to learn new technologies. Preferred Qualifications: Exposure to or basic understanding of C# and the .NET framework. Experience with containerization technologies (e.g., Docker). Familiarity with cloud platforms (e.g., AWS, Azure, Google Cloud). Experience with CI/CD pipelines. Knowledge of software security best practices.","Successful candidates will be part of a friendly, motivated and committed talent teams with various benefits and attractive offers: • Have chance to build long term relationships with colleagues via multiple projects. • Be a true part of customer team across Europe and Asia. • Attractive offer, plus annual compensation and performance bonus. • “FPT care” health insurance provided by PJICO and is exclusive for FPT employees. • Support for learning and certificate examination. • Company shuttle buses provide convenient way of transportation for all employees. • Salary review 1 time/year or on excellent performance • International, dynamic, friendly working environment • Annual leave, working conditions follow Vietnam labor laws. • Annual Summer Vacation: follows company’s policy and starts from May every year • Other allowances: transportation allowance, lunch allowance, working on-site allowance, etc. • FTown Campus provide many facilities for FPT employees such as football ground, basketball & volleyball, gym & yoga centre, restaurant, cafeteria, etc.",- Hồ Chí Minh: Quận 9 - Hồ Chí Minh: Thủ Đức - Hà Nội: Cầu Giấy,Thứ 2 - Thứ 6 (từ 08:30 đến 17:30),2025-06-30,"Node.js, JavaScript, Node.js, Express.js, NestJS, RESTful, PostgreSQL, MySQL, MongoDB, Git, Docker, AWS, Azure, Google Cloud, CI/CD"
Git,Frontend Developer,https://www.topcv.vn/viec-lam/frontend-developer/1721161.html?ta_source=ITJobs_LinkDetail,Thoả thuận,,,Hà Nội,3 năm,"Làm việc và hỗ trợ phát triển các dự án của công ty Phân tích thiết kế, viết tài liệu mô tả. Tham gia vào thiết kế và review source code Tham gia phát triển, đề xuất giải pháp kỹ thuật cho các dự án web Nghiên cứu, tìm hiểu các công nghệ, engine,… mới phục vụ các nhu cầu sản phẩm của công ty Cập nhật tiến độ và thông báo tình trạng công việc trực tiếp tới quản lý dự án Làm việc, phối hợp công việc theo nhóm dưới sự phân công công việc của cấp trên","Có từ 03 năm kinh nghiệm làm việc với Reactjs Có nền tảng vững chắc về HTML,CSS, Javascript. Thành thạo với các công nghệ web như API REST, bảo mật, hiệu suất, v.v. Có kinh nghiệm làm việc với công cụ Git, Restful API, GraphQL. Có kiến thức về UI/UX là lợi thế. Có hiểu biết về Server, Docker, AWS Thành thạo Git. Có kinh nghiệm quản lý team hoặc định hướng teamlead là điểm cộng Có khả năng làm việc nhóm lẫn làm việc độc lập Khả năng tuy duy tốt, chủ động trong công việc, có tinh thần trách nhiệm cao để hoàn thành công việc được giao","Chế độ đãi ngộ Mức lương: Up to $1500 Thưởng: Thưởng ngày lễ (ngày 2/9, ngày 30/4, tết Dương lịch, Âm lịch, …) Thưởng dự án, thưởng performance Tổng thu nhập: lên đến 14 tháng lương/năm Môi trường làm việc Mức lương hấp dẫn, cạnh tranh, tương xứng với năng lực và kinh nghiệm làm việc. Được đánh giá và xét tăng lương 2 lần/năm theo năng lực và hiệu quả công việc. Nghỉ thứ 7, Chủ nhật, nghỉ Lễ/Tết và nghỉ phép theo Quy định của Pháp luật hiện hành. Được tham gia bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp theo Quy định của Pháp luật hiện hành và quy định công ty. Được tham gia chế độ chăm sóc sức khỏe 24/24 AMELA Care khi làm việc chính thức tại công ty từ 06 tháng trở lên. Khám sức khỏe định kỳ 1 năm/1 lần. Trợ cấp tiếng Nhật và các chứng chỉ IT liên quan (hỗ trợ chi phí thi chứng chỉ, khen thưởng..). Môi trường trẻ trung, năng động, thẳng thắn trao đổi và chia sẻ, thúc đẩy sự sáng tạo và phát triển. Được tham gia các Câu lạc bộ của Công ty: CLB Bóng đá, Bilac….. Được tham gia các hoạt động tập thể sôi động của công ty: Nghỉ mát hàng năm, Teambuilding hàng quý, Gala cuối năm… Cơ hội phát triển Tham gia vai trò chính trong việc tư vấn, xây dựng dự án từ giai đoạn đầu tiên Tham gia nhiều chương trình đào tạo chuyên môn, kỹ năng mềm… Cơ hội thăng cấp rõ ràng, phát triển lên vị trí Quản lý. Cơ hội đi công tác tại Nhật Bản","- Hà Nội: Tháp A Keangnam, Nam Từ Liêm",Thứ 2 - Thứ 6 (từ 08:00 đến 17:30),2025-06-07,"HTML, CSS, Javascript, Git, Restful, GraphQL, Docker, AWS, Git"
